id;verified_tier;name;domain;website;city;region;estimated_size;total;fibu_score;recruiting_score;digital_score;datev_score;size_score;growth_score;process_score;tools_score;decision_maker_score;trigger_score;summary;review_notes;contact_1_name;contact_1_role;linkedin_company;team_page_url;career_page_url
3;A;Digitale Steuerberatung und Buchhaltung im Großraum München;steuerteam.de;https://steuerteam.de/digitale-kanzlei-steuerberater;München;muenchen_stuttgart;6;14;2;2;2;2;1;0;1;1;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, rechnungswesen, bilanz | Recruiting: karriere, offene stellen, bewerbung, steuerfachangestellte | Digital: digitalisierung, digitale kanzlei, datev unternehmen online, datev;;;;https://steuerteam.de/digitale-kanzlei-steuerberater;https://steuerteam.de/karriere
529;A;Unternehmen Online » Haubner, Schäfer und Partner mbB;haubner-stb.de;https://www.haubner-stb.de/content/inhalte/kanzlei/digitalisierung/unternehmen_online/index_ger.html;Bonn;nrw;6;11;1;2;2;2;1;0;0;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung | Recruiting: karriere, offene stellen, bewerbung | Digital: digitalisierung, datev unternehmen online, duo, datev;;;;https://www.haubner-stb.de/content/inhalte/kanzlei/digitalisierung/unternehmen_online/mobile_ger.html;https://www.haubner-stb.de/content/inhalte/kanzlei/karriere/index_ger.html
659;A;DATEV - Unser Partner - Steuerkanzlei Leipzig und Frankfurt | Steuerberater | Rechtsanwalt;senger-und-senger.de;https://senger-und-senger.de/datev-unser-partner/;Frankfurt;rhein_main;6;12;2;2;2;2;1;0;1;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, anlagenbuchhaltung | Recruiting: stellenangebot, karriere, bewerbung, steuerfachangestellte | Digital: digitalisierung, datev unternehmen online, datev, cloud;;;;https://senger-und-senger.de/steuerkanzlei/;https://senger-und-senger.de/stellenangebote/
803;A;Schmitt Schaefer – Das Steuerbüro mit Weitsicht;schmittschaefer.de;https://schmittschaefer.de/;Mainz;rhein_main;6;12;2;2;2;2;1;0;0;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, rechnungswesen, jahresabschluss, bilanz | Recruiting: karriere, verstärkung, bewerbung, steuerfachangestellte | Digital: datev unternehmen online, datev, digital;;;;https://schmittschaefer.de/#aboutus;https://schmittschaefer.de/karriere/
108;A;Wir arbeiten mit DATEV Unternehmen Online;treukontax.de;https://www.treukontax.de/duo;Stuttgart;muenchen_stuttgart;5;12;1;2;2;2;1;1;0;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung | Recruiting: stellenangebot, karriere, jobs, wir suchen | Digital: datev unternehmen online, duo, datev, e-rechnung;;;;https://www.treukontax.de/kanzleien;https://www.treukontax.de/karriere
164;A;Steuerberater Thomas Langer // Berlin / Steuerberater Thomas Langer;stblanger.de;https://stblanger.de/;Berlin;berlin_brandenburg;5;16;2;2;2;2;1;1;2;1;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, fibu, buchführung, rechnungswesen | Recruiting: stellenangebot, karriere, jobs, wir suchen | Digital: digitalisierung, digitale kanzlei, datev, papierlos;;;;https://stblanger.de/news/zwischen-zahlen-und-zukunft-wie-thomas-langer-nachhaltigkeit-in-den-kanzleialltag-bringt/;https://stblanger.de/jobs/
642;A;DATEV Unternehmen online: Ihr Steuerberater in Frankfurt;luebeckonline.com;https://www.luebeckonline.com/steuerberater-frankfurt/unternehmenonline.html;Frankfurt;rhein_main;5;12;2;2;2;2;1;0;1;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, belegbearbeitung | Recruiting: stellenangebot, karriere, verstärkung, bewerbung | Digital: digitalisierung, digitale buchhaltung, datev unternehmen online, datev;;;;https://www.luebeckonline.com/kanzlei.html;https://www.luebeckonline.com/karriere.html
709;A;Steuerberatung für den Mittelstand | KellundFeltes;kellundfeltes.de;https://www.kellundfeltes.de/;Wiesbaden;rhein_main;5;15;2;2;2;2;1;2;2;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, rechnungswesen, jahresabschluss | Recruiting: stellenangebot, karriere, offene stellen, wir suchen | Digital: digitalisierung, digitale buchhaltung, datev, digital;;;;https://www.kellundfeltes.de/kanzlei/ueber-uns/;https://www.kellundfeltes.de/karriere/
708;B;Lang Steuerberater – Steuerkanzlei aus Wiesbaden;lang-steuerberater.de;https://lang-steuerberater.de/;Wiesbaden;rhein_main;22;13;2;1;2;2;1;2;0;0;2;1;Verified B: FiBu=JA, Recruiting=NEIN, Digital=JA;verified_tier=B | FiBu: finanzbuchhaltung, buchführung, jahresabschluss, bilanz | Recruiting: steuerfachangestellte | Digital: datev unternehmen online, datev, papierlos, cloud;;;;https://lang-steuerberater.de/#team;
23;B;Buchhaltung online Buchführung digital - VON WEDELSTAEDT Steuerberater;von-wedelstaedt.de;https://www.von-wedelstaedt.de/die-leistungen/rechnungswesen/buchf%C3%BChrung-online/;München;muenchen_stuttgart;10;10;2;0;2;2;1;1;0;0;2;0;Verified B: FiBu=JA, Recruiting=NEIN, Digital=JA;verified_tier=B | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, jahresabschluss | Recruiting:  | Digital: datev unternehmen online, datev, digital;;;;https://www.von-wedelstaedt.de/die-steuerkanzlei/;
